DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,YEAR,MONTH
51.0,44.0,7832.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,1
51.0,34.0,0.0,19930,Alaska Airlines Inc.,3,3,2024,4
51.0,22.0,3916.0,19930,Alaska Airlines Inc.,3,3,2024,1
51.0,8.0,1424.0,19930,Alaska Airlines Inc.,3,3,2024,1
20.0,16.0,2848.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,1
69.0,64.0,11392.0,19930,Alaska Airlines Inc.,3,3,2024,1
52.0,45.0,7161.0,19930,Alaska Airlines Inc.,3,3,2024,4
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
52.0,43.0,7654.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,2
52.0,41.0,7298.0,19930,Alaska Airlines Inc.,3,3,2024,1
51.0,34.0,6052.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,1
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,2
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,2
52.0,44.0,7832.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,3.0,372.0,19930,Alaska Airlines Inc.,3,3,2024,3
52.0,44.0,7832.0,19930,Alaska Airlines Inc.,3,3,2024,4
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,3
